time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1760656602368544500,0.06554443359375,2.5261502540718306,-0.03949082522293819,-0.9427155146920383,0.0115940998545653,-0.29870796172942976,-0.14318377321841552,0.29794417273781576
1760656602378577700,0.07557763671875,2.526001743589352,-0.039557672206445606,-0.9426877870547494,0.011490345466122636,-0.2987840628043225,-0.1431883046332862,0.2979928782935807
1760656602388611600,0.085611572265625,2.526004957270706,-0.039601235203967786,-0.9426663020816559,0.011498554821792392,-0.2987740225918739,-0.1433390566930762,0.298310178870645
1760656602398644700,0.095644775390625,2.5260952963933483,-0.039686961296919114,-0.942647801549524,0.011443861077170292,-0.2987242625054081,-0.14354100818432594,0.29875245117276833
1760656602408678700,0.1056787109375,2.5261335805797995,-0.039780399781583486,-0.9426233180687221,0.011370360779628635,-0.2987011436459613,-0.14372385940183433,0.29916230690705137
1760656602418711600,0.115711669921875,2.5261910272230654,-0.03985170176903454,-0.9426123035987263,0.011292174437613453,-0.29867320116317303,-0.143834367546082,0.29941926522283163
1760656602428744400,0.125744384765625,2.526336439403601,-0.039907496367847815,-0.9426221522360207,0.011196676167015208,-0.29860794457641926,-0.14388967849186104,0.2995607930818109
1760656602438778600,0.135778564453125,2.5265732658582984,-0.039973271845038065,-0.9426517227113806,0.011032205291301084,-0.2985072474735271,-0.1438864857087515,0.29959608723062925
1760656602448811500,0.1458115234375,2.5268185702829746,-0.04002762938929605,-0.9426877641402363,0.010867171650111232,-0.29840449633825106,-0.14384859347296805,0.2995575269399194
1760656602458845700,0.155845703125,2.52706043135948,-0.03995022336924611,-0.9427312137462954,0.010970329716114838,-0.29828495193148097,-0.1438330526676787,0.2994815968732718
1760656602468878600,0.165878662109375,2.527284090201965,-0.03973134353655619,-0.9427787411331324,0.01137281335570576,-0.2981528093950489,-0.14385642562176865,0.29939438154761316
1760656602478911700,0.175911865234375,2.5274488511034336,-0.03948514180119446,-0.942813571941238,0.011867831534862757,-0.2980396979111033,-0.14393033439621533,0.29938772727917856
1760656602488945400,0.1859453125,2.5275502774771623,-0.03929827052034368,-0.9428025190267015,0.012415728056817373,-0.29793898964477566,-0.14426146329401976,0.2999130258989755
1760656602498978600,0.195978515625,2.5275300376498344,-0.03908784473679042,-0.942791656984477,0.012948133750716817,-0.29790348707606024,-0.14446323266905717,0.300173833312083
1760656602509012700,0.2060126953125,2.527570600359969,-0.038898678180865315,-0.9427984618213359,0.013377736684852426,-0.2978505553953249,-0.14457916592764283,0.3002824360094828
1760656602519045600,0.216045654296875,2.5281166424670705,-0.03888605211680746,-0.9428646958953577,0.01338969784728171,-0.2975866618494273,-0.1446937810286323,0.30049939135893705
1760656602529078500,0.22607861328125,2.5287212984531773,-0.03903618549606939,-0.9429202309024782,0.013108615103578107,-0.2973113546896388,-0.14485701238075133,0.3009095572259187
1760656602539112400,0.236112548828125,2.5290517221548,-0.03917936483178976,-0.942923034556263,0.012948415631981697,-0.29715149922775447,-0.145128261553364,0.30152209384589357
1760656602549145600,0.2461455078125,2.5294042052555024,-0.0393416244462547,-0.9429291958783677,0.012738686693290244,-0.2969852828514812,-0.14538454004544865,0.3021174519921736
1760656602559179500,0.256179443359375,2.5298432329741747,-0.039585843577244956,-0.9429568685316448,0.012279827185776667,-0.2968013287355709,-0.145513809347679,0.30251794696603573
1760656602569212700,0.266212646484375,2.5301822148676156,-0.03979182220723352,-0.942981434090451,0.011869083325103056,-0.29666508117983026,-0.1455763797411465,0.3027657920010572
1760656602579245600,0.27624560546875,2.5303609027621694,-0.040001633668713774,-0.9429851804738911,0.011461724960634072,-0.29660526309148,-0.1456166763303487,0.3029719668715459
1760656602589279700,0.28627978515625,2.530430959834719,-0.040277634939815815,-0.9429654427118135,0.0109539198632126,-0.29660207583427556,-0.1456745118600868,0.3032515060511102
