time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1760675642874238000,1.043238037109375,-2.4405497962940017,0.0384966909731466,0.9383677427207817,-0.07505446220789569,-0.3434652476190733,0.003963085980171399,-0.01900803150065765
1760675642884212000,1.0532119140625,-2.4440058290805307,0.03829991907006462,0.938967140253946,-0.07452538854324905,-0.341848391761842,0.003682722996298341,-0.019270812443257172
1760675642894184700,1.063184814453125,-2.447439327672709,0.03817064732468976,0.9395574849713659,-0.07417536260535443,-0.340239256345154,0.0034774408932324585,-0.019441018689787003
1760675642904158700,1.07315869140625,-2.450804062317319,0.03824438273415045,0.9401254227725584,-0.07428536080029151,-0.33865943299949036,0.0033866785180029922,-0.019537079649223344
1760675642914132700,1.0831328125,-2.454047424088374,0.038430878197665906,0.9406654361354166,-0.07462493899987846,-0.33713577906491315,0.003322228277862084,-0.01966390471181337
1760675642924106800,1.093106689453125,-2.457022268192276,0.03862334102996668,0.9411568509796598,-0.07490466922346598,-0.33574115527329257,0.0031548664672212457,-0.019997774758411156
1760675642934080800,1.103080810546875,-2.45960388129319,0.03872196563371016,0.9415832986072128,-0.07491135368409028,-0.33453478913853135,0.002848137406437841,-0.020545617418889297
1760675642944054800,1.1130546875,-2.4618258965105375,0.038696889523852154,0.9419532226008461,-0.07466127648536157,-0.33349734589990665,0.0025098153073114682,-0.021083924712596812
1760675642954027800,1.12302783203125,-2.463819730777969,0.03867397495530182,0.9422850208086302,-0.07451184157098677,-0.3325625305499473,0.00231854690926511,-0.021355189024144832
1760675642964001800,1.133001708984375,-2.4657054171136776,0.03879469652407215,0.9425933687752839,-0.07477164072148433,-0.33167325930739533,0.002336252621942417,-0.021331672179563478
1760675642973975800,1.142975830078125,-2.467489952147405,0.039036511932093176,0.9428799705543068,-0.0753541897656064,-0.3308280127007135,0.002497696980307057,-0.021120256553720792
1760675642983949800,1.15294970703125,-2.4691079566995495,0.039266692462686,0.943138778266592,-0.07590767885144088,-0.3300612895125824,0.0026515191079246195,-0.020920855395164507
1760675642993923800,1.162923828125,-2.470514607107865,0.039401499308722,0.9433654613226967,-0.07622006267300487,-0.3293959608283311,0.0027166891320103454,-0.020833235040028403
1760675643003897900,1.17289794921875,-2.4717424267560277,0.039507875283398095,0.9435628205031895,-0.07641840267957244,-0.32881758611714923,0.002693054052557879,-0.020901158786102235
1760675643013870800,1.182870849609375,-2.4728821837847206,0.03969346360781511,0.9437412393407845,-0.07672200906711922,-0.32828348804442387,0.0026027865464149243,-0.02115028020858561
1760675643023844900,1.192844970703125,-2.473974816321031,0.039908221071448785,0.9439097517137188,-0.07703746470853684,-0.32777399490949116,0.0024466683405463554,-0.021544552564654214
1760675643033819000,1.20281884765625,-2.4750002795440387,0.04006994832320776,0.9440686806147892,-0.07720818885188208,-0.3272978348051339,0.002223074407682972,-0.022033927654488368
1760675643043793000,1.21279296875,-2.4758466112179995,0.040174249056966274,0.944199833130898,-0.07721365156360845,-0.32690845287331605,0.0019150968745327173,-0.022652072052184842
1760675643053767000,1.222766845703125,-2.4764536959695644,0.04026949994685405,0.944291454254737,-0.07715840986145585,-0.32663403168838523,0.0015437665297442897,-0.023393380774547414
1760675643063740000,1.232739990234375,-2.4768513465619657,0.0404630773489107,0.9443446305529225,-0.0773293431840401,-0.3264573551659248,0.0012370867469504918,-0.024084794412016098
1760675643073714000,1.2427138671875,-2.477109329769568,0.04079484091139881,0.9443699924044041,-0.07785916041489434,-0.32634349252743755,0.0010819387538394585,-0.02458523735171257
1760675643083688000,1.25268798828125,-2.4772779786269745,0.04122261516479769,0.9443768861708994,-0.07862719909388756,-0.32627005532113634,0.0010149937264767937,-0.024984936011686786
1760675643093662000,1.262661865234375,-2.4773220854048796,0.04163530692352821,0.9443634890715616,-0.07934077971959035,-0.3262565651542694,0.0009105871872072851,-0.025450481270585572
1760675643103635700,1.2726357421875,-2.477163963027073,0.0419536138225405,0.9443203539133893,-0.07980820918529395,-0.32634103410612253,0.0007065639417790287,-0.02605087247746162
1760675643113609700,1.282609619140625,-2.476767292162556,0.042288120151948265,0.9442362769661591,-0.0802400873147134,-0.3265416787423712,0.0004060082513310994,-0.026854159562647147
1760675643123582700,1.292582763671875,-2.4762357934655865,0.04267185086382648,0.9441256867768667,-0.08065858368952772,-0.32681176400676376,-0.000054471703130714135,-0.027997839653252077
1760675643133556700,1.302556640625,-2.4756566858396694,0.04304209088067092,0.944005482045077,-0.08093807766095533,-0.3271096674888347,-0.0006867494988182047,-0.02945981973997661
1760675643143530800,1.31253076171875,-2.4750624702565402,0.04333420594152123,0.9438843705725912,-0.08098342521368522,-0.3274176616593276,-0.0014495063331973726,-0.031118123402734423
1760675643153504800,1.3225048828125,-2.4744642673136057,0.04355365611767185,0.9437642212329698,-0.08081933339605407,-0.3277297525689024,-0.002320759125588985,-0.03293411011516023
1760675643163478800,1.332478759765625,-2.4739038121471344,0.04372087773627173,0.9436515867072548,-0.08053007385975901,-0.3280240139419418,-0.0032317221322537316,-0.03478925215335294
1760675643173452800,1.342452880859375,-2.473445199187887,0.043962375276668,0.9435515025265022,-0.08040357058604214,-0.32826969264483014,-0.004110084515871515,-0.03662737279507515
