time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1760656679039425800,0.06742578125,2.5538156802169665,-0.0408437435852467,-0.9460828984151644,0.007028301851753837,-0.28577455731996293,-0.1469420311444669,0.3061426487198261
1760656679049458700,0.077458740234375,2.5540886045882023,-0.040838509879440134,-0.9460985148004323,0.007100528996320698,-0.2856319529704121,-0.14711956178896077,0.3064844316903082
1760656679059492900,0.087492919921875,2.5542577699368993,-0.04084609454424238,-0.9461143982573426,0.007091933657001765,-0.28554989792032875,-0.14717447343792786,0.30659583339321694
1760656679069526800,0.09752685546875,2.5543459184778707,-0.04092188481377868,-0.9461290515568211,0.006892652571070463,-0.2855249147941252,-0.1471082034887057,0.3065120812257477
1760656679079560700,0.107560791015625,2.554400771516319,-0.04095216088369666,-0.9461540647704779,0.006734941396507334,-0.28551722827920073,-0.14695377269280246,0.3062307699821402
1760656679089593900,0.11759375,2.5544364122551158,-0.041151124591362546,-0.9461744308075415,0.006198804105474813,-0.2855482357806992,-0.14670610604970688,0.3058673641831855
1760656679099627800,0.127627685546875,2.5544646462939835,-0.041723783487415574,-0.9461606659527352,0.004950342565892422,-0.28562899963596416,-0.14647590030197125,0.3057563336823359
1760656679109661700,0.13766162109375,2.5545341464671987,-0.042235680714840296,-0.946122609580079,0.003971878222817243,-0.2856590602764181,-0.14651638120591398,0.3061343012588506
1760656679119694800,0.14769482421875,2.5546470474998575,-0.0424300649628197,-0.9460777378253681,0.0037799769785838606,-0.28560172348026536,-0.1468611743177836,0.30691618971709594
1760656679129728800,0.157728759765625,2.5547729299335455,-0.042382027000926685,-0.9460490339626576,0.004081973737716201,-0.2855031942986697,-0.1472510051225038,0.30764363957040425
1760656679139763000,0.167762939453125,2.554983489230899,-0.042198427153523135,-0.9460633298561874,0.004543079356199161,-0.28536156226867515,-0.1474866703929544,0.3079934085674784
1760656679149796900,0.177796875,2.5552935490203823,-0.04197136295952407,-0.946117366197886,0.004971153175297652,-0.28518352727357327,-0.14754866694984387,0.30798156716657105
1760656679159829800,0.187829833984375,2.5555556543185354,-0.04174866187383422,-0.9461769279458592,0.005341293699859889,-0.2850368592958286,-0.14751339373085118,0.3077838283137991
1760656679169864000,0.197864013671875,2.5556593683301654,-0.0415238101315667,-0.9462143662386612,0.005741130179048542,-0.2849629240598274,-0.14747971461008758,0.30758760062399143
1760656679179897900,0.20789794921875,2.555731736015835,-0.04138811100023827,-0.9462417232542274,0.005965347447723702,-0.28491616009347687,-0.1474327784302181,0.3074176631513985
1760656679189931000,0.217930908203125,2.555848899592114,-0.041535088555117054,-0.9462595342850763,0.005600536609823287,-0.28489041964074335,-0.14732698621008422,0.3072987424311572
1760656679199964700,0.227964599609375,2.5559511459777426,-0.041824811338572625,-0.946259963791859,0.00497697482040823,-0.28488759772967265,-0.14724767010888137,0.30731433458870894
1760656679209998800,0.237998779296875,2.5560680700872864,-0.04206918445499388,-0.9462553535414007,0.004487626511179686,-0.28486477830887796,-0.14725151823661797,0.3074646217217841
1760656679220033000,0.248032958984375,2.556263144171655,-0.042221191950746785,-0.9462692240129761,0.0041652384493468956,-0.2847939384306961,-0.14725559293783647,0.30756158818897705
1760656679230066000,0.25806591796875,2.5565353705282017,-0.04230310981468527,-0.9463094977012781,0.003922615450043491,-0.28468514094451414,-0.1471842038602378,0.3074715684064218
1760656679240099800,0.268099853515625,2.556842379916988,-0.04229338803887227,-0.9463732027679291,0.003802514380927658,-0.2845558361552824,-0.14702771305903126,0.30716320364469074
1760656679250133800,0.2781337890625,2.557203700928596,-0.04212677868502557,-0.9464675353610424,0.00393218545013612,-0.28438793711799204,-0.1467925186506924,0.30661096826198503
1760656679260167000,0.2881669921875,2.5576094117729413,-0.04189418671233541,-0.9465857835808562,0.004127086907619569,-0.2841994315779408,-0.14646131629303014,0.3058344496191226
1760656679270200800,0.298200927734375,2.557975160566413,-0.041778615293530656,-0.9466939971541586,0.0040772101817331905,-0.2840480151209352,-0.14608814917718008,0.3050447014594072
1760656679280234800,0.30823486328125,2.558237752399243,-0.04177438693215605,-0.9467726697777264,0.0038547250237400492,-0.2839544493774723,-0.14576138432937724,0.30440945786374174
1760656679290269000,0.31826904296875,2.558447447728196,-0.04178817549270272,-0.9468271781563777,0.003674959224222249,-0.2838772163819891,-0.14555374895500514,0.3040154425152201
1760656679300301800,0.3283017578125,2.5586668460691713,-0.041659659197068176,-0.9468818388541699,0.0038281197213620435,-0.28376857148821255,-0.1454467509312333,0.3037338043134863
1760656679310336000,0.3383359375,2.5588818238495636,-0.04127522645052173,-0.9469517085952311,0.004501107023760909,-0.2836258407509273,-0.14537960961402777,0.30338087104785677
1760656679320370000,0.348369873046875,2.5590742687898165,-0.04065380093219457,-0.947046512518235,0.005595931248218916,-0.28346953086666704,-0.14524219718309592,0.3027543991994508
1760656679330403800,0.35840380859375,2.5592865927190425,-0.03992541696675776,-0.9471723173934201,0.006802294809423931,-0.2833044467744285,-0.14494546015433368,0.30175749773534427
1760656679340437000,0.36843701171875,2.559495728978526,-0.03916388023475475,-0.9473161445198567,0.007996837450033116,-0.2831484935178402,-0.14451708564086285,0.3004866897815122
1760656679350470700,0.378470703125,2.559692566639374,-0.038343869026580574,-0.947469375991089,0.009271964506429671,-0.28299658315410364,-0.1440292203966361,0.2990671776489884
1760656679360504800,0.3885048828125,2.559747172283947,-0.03748549681401705,-0.9476125143774289,0.010606498148199764,-0.28291176859287837,-0.14347905543719905,0.29750452784159914
